,feature,feature score
70,tot_area_fire_prev_1yr,0.01977058967378299
153,2m_tmp_18hrs_10y,0.017630856020690023
55,2m_tmp_18hrs,0.01747842355672633
121,2m_tmp_18hrs_5y,0.015924287203610565
86,2m_tmp_0hrs_1y,0.015756827907876768
69,hist_fire_area_prop_10y,0.015182879903188935
89,2m_tmp_18hrs_1y,0.014309486194640312
67,hist_fire_area_prop_1y,0.013715774911373362
168,tot_prcp_12hrs_10y,0.012254180866002192
118,2m_tmp_0hrs_5y,0.01198868503404839
169,tot_prcp_18hrs_10y,0.011787023918287287
68,hist_fire_area_prop_5y,0.011293275882228964
31,2m_tmp_0hrs,0.01124713191370165
150,2m_tmp_0hrs_10y,0.011113091018881964
59,tot_prcp_18hrs,0.011074397217356804
136,tot_prcp_12hrs_5y,0.01088855465083944
135,tot_prcp_6hrs_5y,0.010613099052684167
73,hist_prop_area_fire_1m,0.010571225675167358
151,2m_tmp_6hrs_10y,0.009934216761556001
35,tot_prcp_0hrs,0.009774061207927169
137,tot_prcp_18hrs_5y,0.00976321758233895
51,tot_prcp_12hrs,0.009747671793530765
167,tot_prcp_6hrs_10y,0.009720674881958486
65,hist_cl_size_10y,0.009216766724078338
43,tot_prcp_6hrs,0.008937594528759718
119,2m_tmp_6hrs_5y,0.00890949980900571
72,hist_cl_size_no_leak_1m,0.008714753638710122
66,hist_fire_area_prop_1m,0.008655808109505473
120,2m_tmp_12hrs_5y,0.008152561385481247
105,tot_prcp_18hrs_1y,0.007603201164645024
102,tot_prcp_0hrs_1y,0.007552246124577654
134,tot_prcp_0hrs_5y,0.007432102743398449
39,2m_tmp_6hrs,0.007403221045503775
87,2m_tmp_6hrs_1y,0.007385194711360048
54,2m_dewpoint_tmp_18hrs,0.007345076067118852
104,tot_prcp_12hrs_1y,0.007317346622305221
38,2m_dewpoint_tmp_6hrs,0.007312204791524985
166,tot_prcp_0hrs_10y,0.007294211061417517
28,U_wind_10m_0hrs,0.007291168280971107
152,2m_tmp_12hrs_10y,0.007213487334538515
52,U_wind_10m_18hrs,0.007209049535436031
30,2m_dewpoint_tmp_0hrs,0.007195496445090277
46,2m_dewpoint_tmp_12hrs,0.007188990955017031
47,2m_tmp_12hrs,0.007158899552530198
